Source,Target,Weight
1,1,10
1,2,11
1,3,44
1,4,4
1,5,45
1,6,55
1,7,1
1,8,5
1,9,3
1,10,12
1,11,38
1,12,41
1,13,7
1,14,30
1,15,24
1,16,5
1,17,8
1,18,9
1,19,4
1,20,4
1,21,4
1,22,5
1,23,4
1,24,4
1,25,4
1,26,5
1,27,5
1,29,5
1,36,2
1,37,1
1,38,25
1,39,4
1,48,4
1,50,1
1,52,5
1,53,10
1,55,1
1,61,3
1,62,15
1,63,3
1,64,3
1,65,13
1,67,4
1,69,1
1,71,1
1,72,9
1,73,4
1,77,4
1,78,5
1,79,5
1,82,4
1,83,7
1,88,4
1,89,5
1,90,3
1,95,1
1,96,8
1,97,4
1,98,4
1,99,6
1,100,4
1,101,4
1,102,4
1,103,4
1,104,4
1,105,4
1,106,4
1,107,4
1,108,6
1,109,4
1,110,8
1,111,4
1,112,4
1,113,4
1,114,4
1,115,8
1,116,1
1,117,9
1,118,4
1,119,5
1,120,8
1,121,7
1,122,10
1,123,4
1,124,7
1,125,4
1,126,4
1,127,4
1,130,2
1,131,5
1,132,4
1,133,6
1,134,1
1,137,1
1,139,1
1,142,1
1,145,1
1,146,23
1,147,2
1,148,25
1,149,2
1,150,3
1,151,19
1,152,1
1,156,4
1,158,10
1,165,1
1,169,1
1,171,3
1,184,4
1,185,83
1,186,5
1,187,1
1,188,8
1,189,6
1,190,12
1,194,2
1,198,8
1,199,10
1,206,3
1,207,14
1,213,8
1,214,2
1,215,6
1,216,6
1,217,6
1,218,6
1,219,6
1,220,6
1,221,6
1,222,6
1,223,6
1,224,6
1,225,6
1,226,6
1,227,6
1,228,6
1,229,4
1,230,7
1,231,6
1,232,6
1,233,7
1,234,6
1,235,7
1,236,3
1,237,7
1,238,6
1,239,3
1,240,3
1,241,6
1,242,4
1,247,4
1,248,11
1,249,20
1,250,13
1,254,4
1,256,1
1,260,19
1,261,2
1,262,2
1,263,4
1,268,6
1,269,7
1,271,3
1,272,6
1,273,1
1,274,1
1,275,2
1,276,6
1,277,7
1,278,4
1,279,4
1,280,4
1,281,6
1,282,4
1,283,4
1,284,20
1,285,3
1,286,8
1,287,4
1,288,2
1,289,4
1,290,5
1,291,9
1,293,1
1,295,5
1,296,2
1,297,7
1,299,1
1,300,4
1,301,2
1,302,9
1,303,4
1,304,3
1,305,12
1,306,1
1,307,2
1,308,10
1,309,2
1,310,1
1,311,6
1,312,6
1,314,3
1,315,10
1,316,2
1,317,4
1,318,2
1,320,1
1,321,1
1,322,9
1,323,2
1,325,1
1,328,1
1,334,1
1,338,14
1,339,6
1,353,1
1,411,1
1,412,1
1,426,3
1,430,1
1,454,1
1,468,1
1,470,1
1,480,4
1,495,4
1,571,1
1,585,6
1,587,1
1,743,1
1,802,3
1,803,2
1,804,1
1,805,3
1,1132,2
1,1161,8
1,1165,1
1,1173,1
1,1221,2
1,1276,1
1,1279,1
1,1322,1
1,1536,2
1,2001,3
1,2004,1
1,2058,2
1,2323,1
1,2325,3
1,2326,3
1,2327,3
1,2328,1
1,2329,1
1,2330,4
1,2342,1
1,2346,1
1,2396,2
1,2400,4
1,2515,2
1,2518,1
1,2524,1
1,2527,3
1,2528,1
1,2534,28
1,2537,13
1,2542,1
1,2546,1
1,2550,2
1,2554,3
1,2596,9
1,2597,4
1,2613,35
1,2624,1
1,2644,1
1,2650,2
1,2661,1
1,2662,1
1,2667,2
1,2689,6
1,2690,22
1,2717,2
1,2718,2
1,2719,1
1,2720,1
1,2721,11
1,2757,3
1,2758,1
1,2759,2
1,2760,1
1,2761,9
1,2770,4
1,2905,2
1,2926,1
1,2930,1
1,2933,3
1,2951,2
1,2952,2
1,2970,3
1,2971,6
1,2972,1
1,2973,1
1,2974,11
1,2975,2
1,2976,4
1,2977,1
1,2978,2
1,2979,12
1,2980,1
1,2981,2
1,2982,2
1,2983,1
1,2984,1
1,2985,1
1,2986,1
1,2987,1
1,2988,1
1,2989,1
1,2990,14
1,2991,1
1,2992,1
1,2993,2
1,2994,2
1,2995,1
1,2996,1
1,2997,1
1,2998,1
1,2999,1
1,3000,6
1,3001,1
1,3002,1
1,3003,2
1,3004,1
1,3005,2
1,3006,2
1,3007,3
1,3008,1
1,3009,1
1,3010,2
1,3011,1
1,3012,2
1,3013,1
1,3014,2
1,3015,2
1,3016,1
1,3017,2
1,3018,1
1,3019,1
1,3020,3
1,3021,1
1,3022,1
1,3023,1
1,3024,1
1,3025,2
1,3026,1
1,3027,1
1,3028,1
1,3029,1
1,3030,1
1,3031,1
1,3032,1
1,3033,1
1,3034,1
1,3035,1
1,3036,1
1,3037,1
1,3103,1
1,3189,8
1,3191,1
1,3207,3
1,3252,1
1,3254,2
1,3256,1
1,4010,1
1,4173,1
1,4358,1
1,5556,8
1,5928,1
1,6003,10
1,6010,1
1,6213,1
1,6596,1
1,6775,1
1,6776,1
1,6777,1
1,6778,2
1,6779,2
1,6780,1
1,6781,1
1,6782,2
1,6783,6
1,6784,1
1,6785,1
1,6786,1
1,6787,1
1,6788,1
1,6789,2
1,6790,1
1,6791,1
1,6792,1
1,6793,1
1,6794,8
1,6795,1
1,17252,1
1,18646,2
1,21388,3
1,24438,1
1,24803,1
1,24900,1
1,24937,1
1,25004,1
2,1,5
2,3,17
2,6,2
2,8,3
2,10,8
2,14,4
2,16,6
2,17,8
2,19,8
2,20,9
2,21,6
2,22,3
2,23,8
2,24,8
2,25,8
2,29,6
2,67,6
2,71,2
2,73,8
2,77,5
2,78,5
2,82,5
2,88,2
2,89,3
2,96,5
2,97,5
2,98,5
2,99,6
2,100,5
2,101,4
2,102,5
2,103,5
2,104,5
2,105,5
2,106,4
2,107,5
2,108,5
2,109,5
2,110,5
2,111,5
2,112,6
2,113,5
2,114,5
2,115,5
2,116,3
2,117,4
2,118,6
2,119,7
2,120,6
2,121,6
2,122,6
2,123,6
2,124,6
2,125,6
2,126,6
2,127,6
2,133,3
2,134,2
2,185,2
2,199,2
2,242,1
2,1556,1
2,1819,1
2,2656,1
2,5768,1
2,24093,1
2,24504,1
2,31165,1
2,44945,1
2,53840,1
2,54682,1
2,54683,1
2,54684,1
2,54685,1
2,54686,1
2,54687,1
2,54688,1
2,54689,1
2,54690,1
2,54691,1
2,54692,1
2,54693,1
2,54694,1
2,54695,1
2,54696,1
2,54697,1
2,54698,1
2,54699,1
2,54700,1
2,54701,1
2,54702,1
2,54703,1
2,54704,1
2,54705,1
2,54706,1
2,54707,1
2,54708,1
2,54709,1
2,54710,1
2,54711,1
2,54712,1
2,54713,1
2,54714,1
2,54715,1
2,54716,1
2,54717,1
2,54718,1
2,54719,1
2,54720,1
2,54721,1
2,54722,1
2,54723,1
2,54724,1
2,54725,1
2,54726,1
2,54727,1
2,54728,1
2,54729,1
2,54730,1
2,54731,1
2,54732,1
2,54733,1
2,54734,1
2,54735,1
2,54736,1
2,54737,1
2,54738,1
2,54739,1
2,54740,1
2,54741,1
2,54742,1
2,54743,1
2,54744,1
2,54745,1
2,54746,1
2,54747,1
2,54748,1
2,54749,1
2,54750,1
2,54751,1
2,54752,1
2,54753,1
2,54754,1
2,54755,1
2,54756,1
2,54757,1
2,54758,1
2,54759,1
2,54760,1
2,54761,1
2,54762,1
2,54763,1
2,54764,1
2,54765,1
2,54766,1
2,54767,1
2,54768,1
2,54769,1
2,54770,1
2,54771,1
2,54772,1
2,54773,1
2,54774,1
2,54775,1
2,54776,1
2,54777,1
2,54778,1
2,54779,1
2,54780,1
2,54781,1
2,54782,1
2,54783,1
2,54784,1
2,54785,1
2,54786,1
2,54787,1
2,54788,1
2,54789,1
2,54790,1
2,54791,1
2,54792,1
2,54793,1
2,54794,1
2,54795,1
2,54796,1
2,54797,1
2,54798,1
2,54799,1
2,54800,1
2,54801,1
2,54802,1
3,1,171
3,2,171
3,3,427
3,4,5
3,5,64
3,6,132
3,7,3
3,8,21
3,9,3
3,10,361
3,11,101
3,12,23
3,13,134
3,14,64
3,15,4
3,16,140
3,17,313
3,18,15
3,19,30
3,20,27
3,21,31
3,22,15
3,23,36
3,24,36
3,25,36
3,26,7
3,27,10
3,28,11
3,29,166
3,30,8
3,31,2
3,32,3
3,33,2
3,34,6
3,35,4
3,37,6
3,38,110
3,39,1
3,41,1
3,45,2
3,47,1
3,49,1
3,50,3
3,51,28
3,52,20
3,53,19
3,55,6
3,57,1
3,58,13
3,59,1
3,61,32
3,62,10
3,63,15
3,64,19
3,65,14
3,66,5
3,67,107
3,68,2
3,69,11
3,71,18
3,72,23
3,73,39
3,74,8
3,76,15
3,77,57
3,78,48
3,79,42
3,80,18
3,81,1
3,82,37
3,83,28
3,84,2
3,85,3
3,88,5
3,89,39
3,90,4
3,95,2
3,96,17
3,97,42
3,98,38
3,99,38
3,100,33
3,101,26
3,102,34
3,103,36
3,104,42
3,105,36
3,106,36
3,107,54
3,108,38
3,109,34
3,110,30
3,111,44
3,112,43
3,113,36
3,114,35
3,115,20
3,116,2
3,117,32
3,118,7
3,119,7
3,120,4
3,121,7
3,122,7
3,123,2
3,124,7
3,125,6
3,126,7
3,127,14
3,128,2
3,130,2
3,131,34
3,132,10
3,133,15
3,134,5
3,135,4
3,136,1
3,137,48
3,138,4
3,139,7
3,140,10
3,141,8
3,142,8
3,143,8
3,144,9
3,145,1
3,146,3
3,147,1
3,148,3
3,149,4
3,150,1
3,151,10
3,152,1
3,153,1
3,154,1
3,155,1
3,156,1
3,157,1
3,158,8
3,165,1
3,166,4
3,168,4
3,169,5
3,171,4
3,184,2
3,185,32
3,186,1
3,188,3
3,189,6
3,190,6
3,194,5
3,198,7
3,199,21
3,206,8
3,207,2
3,208,10
3,213,5
3,215,1
3,216,1
3,217,1
3,218,2
